0,-1500,-1400,-1300,-1200,-1100,-1000,-900,-700,-600,-500,-450,-400,-350,-300,-250,-200,-150,-100,-50,0,50,100,150,200,250,300,350,400,450,500,600,700,900,1000,1100,1200,1300,1400,1500,800,-800
1310,-0.18467,-0.19414,-0.2136,-0.24993,-0.20259,-0.17996,-0.20588,-0.17478,-0.20056,-0.19968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23384,-0.18176,-0.078467,-0.33591,-0.34136,-0.2136,-0.16597,-0.39312,-0.58147,-0.49819,-0.33494,-0.13176
1310.1,-0.29226,-0.19407,-0.20474,-0.26182,-0.032324,-0.21025,-0.26084,-0.12424,-0.13306,-0.23711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19043,-0.16663,-0.15134,-0.21711,-0.24897,-0.30549,-0.34346,-0.38057,-0.44146,-0.44807,-0.23379,-0.1063
1310.2,-0.40173,-0.18503,-0.18376,-0.15857,-0.20986,-0.11411,-0.34189,-0.21038,-0.14182,-0.05564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1415,-0.27556,-0.27751,-0.14709,-0.11379,-0.22947,-0.31816,-0.37446,-0.44456,-0.50264,-0.088159,-0.11487
1310.3,-0.10261,-0.16885,-0.26533,-0.1958,-0.21252,-0.14919,-0.069458,-0.15649,-0.15701,-0.15366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32676,-0.15342,-0.25591,-0.2002,-0.44092,-0.12122,-0.38118,-0.40515,-0.71877,-0.60752,-0.16008,-0.18667
1310.4,-0.23762,-0.12671,-0.25952,-0.22163,-0.20723,-0.15193,-0.26995,-0.19299,-0.19839,-0.2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19414,-0.23679,-0.23044,-0.26213,-0.22327,-0.22434,-0.24673,-0.40188,-0.29238,-0.52832,-0.34285,-0.083081
1310.5,-0.28865,-0.25391,-0.22612,-0.20496,-0.24412,-0.10103,-0.2251,-0.24409,-0.21829,-0.085425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21189,-0.18716,-0.3219,-0.19878,-0.17339,-0.30825,-0.33118,-0.32971,-0.27754,-0.59263,-0.26514,-0.24319
1310.6,-0.2478,-0.14519,-0.21233,-0.32136,-0.23518,-0.19302,-0.21812,-0.16421,-0.22192,-0.091089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29265,-0.1873,-0.13774,-0.046851,-0.41367,-0.32764,-0.39524,-0.23567,-0.43218,-0.54478,-0.18179,-0.10474
1310.7,-0.21946,-0.24353,-0.10918,-0.29341,-0.26052,-0.041406,-0.29861,-0.23767,-0.20894,-0.31333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19673,-0.27905,-0.2634,-0.28318,-0.25715,-0.25425,-0.35427,-0.30671,-0.3355,-0.41389,-0.27903,-0.18875
1310.8,-0.23652,-0.28218,-0.15806,-0.14402,-0.14456,-0.226,-0.11516,-0.14685,-0.26692,-0.22219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19658,-0.19124,-0.17717,-0.38071,-0.32256,-0.23889,-0.37476,-0.3137,-0.54082,-0.52637,-0.29285,-0.19514
